,Concept_ID,en,zh
0,Auge::N,eye,眼睛
1,Ohr::N,ear,耳朵
2,Nase::N,nose,鼻子
3,Mund::N,mouth,嘴
4,Zahn::N,tooth,牙齿
5,Zunge::N,tongue,舌头
6,Lippe::N,lip,嘴唇
7,Wange::N,cheek,面颊
8,Gesicht::N,face,脸
9,Stirn::N,forehead,额
10,Haar::N,hair,头发
11,Schnurrbart::N,moustache,髭须
12,Bart::N,beard,胡子
13,Kinn::N,chin,下巴
14,Kiefer[Anatomie]::N,jaw,颌
15,Kehle::N,throat,嗓子
16,Hals::N,neck,颈
17,Genick::N,nape,后颈
18,Kopf::N,head,头
19,Rücken::N,back,背
20,Rücken::N,spine,背
21,Bauch::N,belly,肚子
22,Nabel::N,navel,肚脐
23,Busen::N,bosom,胸脯
24,Brust::N,chest,胸
25,Brust::N,breast,胸
26,Schulter::N,shoulder,肩膀
27,Arm::N,arm,臂膀
28,Ellenbogen::N,elbow,肘
29,Hand::N,hand,手
30,Handfläche::N,palm,手掌
31,Finger::N,finger,手指
32,Fingernagel::N,fingernail,指甲
33,Nagel[Anatomie]::N,nail,指甲
34,Zeh::N,toe,脚趾
35,Fuß::N,foot,脚
36,Ferse::N,heel,后跟
37,Knie::N,knee,膝
38,Oberschenkel::N,thigh,大腿
39,Bein::N,leg,腿
40,Körper::N,body,身体
41,Haut::N,skin,皮肤
42,Blut::N,blood,血
43,Ader::N,vein,血管
44,Sehne::N,sinew,腱
45,Knochen::N,bone,骨
46,Gehirn::N,brain,脑
47,Herz::N,heart,心
48,Magen::N,stomach,胃
49,Leber::N,liver,肝
50,Atem::N,breath,呼吸
51,Hunger::N,hunger,饿
52,Träne::N,tear,眼泪
53,Geschmack::N,flavour,味道
54,Geschmack::N,flavor,味道
55,Geruch::N,odour,气味
56,Geruch::N,odor,气味
57,Schlaf::N,sleep,睡眠
58,Traum::N,dream,梦
59,Himmel::N,sky,天空
60,Sonne::N,sun,太阳
61,Mond::N,moon,月亮
62,Stern::N,star,星
63,Luft::N,air,空气
64,Wind::N,wind,风
65,Welle::N,wave,波
66,Wasser::N,water,水
67,Stein::N,stone,石头
68,Boden::N,soil,地面
69,Boden::N,ground,地面
70,Erde::N,earth,地
71,Staub::N,dust,灰尘
72,Rauch::N,smoke,烟
73,Funke::N,spark,火花
74,Feuer::N,fire,火
75,Licht::N,light,光
76,Schatten::N,shadow,影子
77,Wetter::N,weather,天气
78,Nebel::N,fog,雾
79,Wolke::N,cloud,云
80,Regen::N,rain,雨
81,Schnee::N,snow,雪
82,Eis::N,ice,冰
83,Frost::N,frost,霜冻
84,Kälte::N,chill,寒冷
85,Hitze::N,heat,炎热
86,Raureif::N,hoarfrost,霜
87,Regenbogen::N,rainbow,虹
88,Donner::N,thunder,雷
89,Strömung::N,current,水流
90,Tropfen::N,drop,滴
91,Schaum::N,foam,泡沫
92,Schmutz::N,dirt,赃物
93,See::N,lake,湖
94,Sumpf::N,swamp,沼泽
95,Moor::N,moor,沼泽
96,Wiese::N,meadow,草地
97,Wald::N,forest,森林
98,Hügel::N,hill,丘陵
99,Anhöhe::N,elevation,山丘
100,Berg::N,mountain,山
101,Gipfel::N,summit,峰
102,Höhle::N,cave,洞穴
103,Abhang::N,slope,斜坡
104,Quelle::N,source,泉
105,Bach::N,brook,溪
106,Fluss::N,river,河流
107,Ufer::N,shore,岸
108,Küste::N,coast,海岸
109,Festland::N,land,大陆
110,Meer::N,sea,海
111,Bucht::N,cove,海湾
112,Insel::N,island,岛
113,Blume::N,flower,花
114,Gras::N,grass,草
115,Wurzel::N,root,根
116,Baum::N,tree,树
117,Stamm::N,trunk,树干
118,Rinde::N,bark,树皮
119,Ast::N,limb,树枝
120,Zweig::N,branch,树枝
121,Blatt::N,leaf,叶子
122,Birke::N,birch,桦木
123,Kiefer[Baum]::N,pine,松树
124,Weide[Baum]::N,willow,柳树
125,Tanne::N,fir,冷杉
126,Horn::N,horn,角
127,Feder::N,feather,羽毛
128,Fell::N,fur,皮毛
129,Flügel::N,wing,翅膀
130,Klaue::N,claw,爪子
131,Kralle::N,claw,爪子
132,Schwanz::N,tail,尾巴
133,Ei::N,egg,蛋
134,Nest::N,nest,巢
135,Bau::N,lair,穴
136,Tier::N,animal,动物
137,Herde::N,flock,群
138,Kuh::N,cow,母牛
139,Bulle::N,bull,公牛
140,Pferd::N,horse,马
141,Schaf::N,sheep,羊
142,Schwein::N,pig,猪
143,Hund::N,dog,狗
144,Katze::N,cat,猫
145,Bär::N,bear,熊
146,Eichhörnchen::N,squirrel,松鼠
147,Elch::N,elk,麋鹿
148,Fuchs::N,fox,狐狸
149,Hase::N,hare,兔子
150,Maus::N,mouse,老鼠
151,Wolf::N,wolf,狼
152,Vogel::N,bird,鸟
153,Schwarm::N,swarm,群
154,Huhn::N,chicken,鸡
155,Hahn::N,cock,公鸡
156,Gans::N,goose,鹅
157,Adler::N,eagle,鹰
158,Ente::N,duck,鸭
159,Eule::N,owl,猫头鹰
160,Kranich::N,crane,鹤
161,Krähe::N,crow,乌鸦
162,Kuckuck::N,cuckoo,布谷鸟
163,Schwan::N,swan,天鹅
164,Fisch::N,fish,鱼
165,Barsch::N,perch,鲈鱼
166,Hecht::N,pike,狗鱼
167,Schlange[Tier]::N,snake,蛇
168,Wurm::N,worm,蠕虫
169,Spinne::N,spider,蜘蛛
170,Ameise::N,ant,蚂蚁
171,Laus::N,louse,虱子
172,Mücke::N,midge,蚊子
173,Fliege::N,fly,苍蝇
174,Schmetterling::N,butterfly,蝴蝶
175,Beere::N,berry,将果
176,Apfel::N,apple,苹果
177,Pilz::N,mushroom,蘑菇
178,Zwiebel::N,onion,洋葱
179,Saat::N,seed,种子
180,Korn::N,grain,谷粒
181,Heu::N,hay,干草
182,Schale::N,husk,壳
183,Grube::N,pit,坑
184,Falle::N,trap,圈套
185,Schlinge::N,noose,活扣
186,Spur::N,track,踪迹
187,Asche::N,ashes,灰烬
188,Dreck::N,filth,污垢
189,Eisen::N,iron,铁
190,Gold::N,gold,金子
191,Silber::N,silver,银
192,Kohle::N,coal,煤
193,Glas::N,glass,玻璃
194,Lehm::N,clay,粘土
195,Sand::N,sand,沙
196,Mensch::N,human,人
197,Mann::N,man,男子
198,Frau::N,woman,妇女
199,Kind::N,child,小孩
200,Junge::N,boy,男孩
201,Mädchen::N,girl,女孩
202,Familie::N,family,家庭
203,Großvater::N,grandfather,祖父
204,Großmutter::N,grandmother,祖母
205,Eltern::N,parents,父母
206,Vater::N,father,父亲
207,Mutter::N,mother,母亲
208,Sohn::N,son,儿子
209,Tochter::N,daughter,女儿
210,Bruder::N,brother,兄弟
211,Schwester::N,sister,姐妹
212,Onkel::N,uncle,伯父
213,Tante::N,aunt,阿姨
214,Ehemann::N,husband,丈夫
215,Ehefrau::N,wife,妻子
216,Freude::N,joy,愉快
217,Gelächter::N,laughter,大笑
218,Glück::N,happiness,运气
219,Kummer::N,grief,苦恼
220,Wunsch::N,wish,愿望
221,Lust::N,desire,乐趣
222,Geist::N,spirit,精神
223,Gedanke::N,thought,思想
224,Gedächtnis::N,memory,记性
225,Verstand::N,mind,理智
226,Sinn::N,meaning,感觉
227,Grund::N,reason,理由
228,Wahrheit::N,truth,真理
229,Gespräch::N,talk,谈话
230,Märchen::N,fairy tale,童话
231,Erzählung::N,story,故事
232,Nachricht::N,message,消息
233,Neuigkeit::N,news,新闻
234,Name::N,name,名字
235,Rätsel::N,puzzle,谜语
236,Rede::N,speech,讲话
237,Sprache::N,language,语言
238,Stimme::N,voice,声音
239,Wort::N,word,词
240,Zeichen::N,sign,标记
241,Ruf::N,call,呼喊
242,Lärm::N,noise,噪音
243,Laut::N,sound,响声
244,Ton::N,tone,声音
245,Lied::N,song,歌曲
246,Ruhe::N,calm,安静
247,Leute::N,people,人们
248,Volk::N,nation,人民
249,Arbeit::N,work,劳动
250,Gast::N,guest,客人
251,Geschenk::N,gift,礼物
252,Spiel::N,game,游戏
253,Gesellschaft::N,company,陪同
254,Hilfe::N,help,帮助
255,Freund::N,friend,朋友
256,Kamerad::N,companion,同志
257,Angelegenheit::N,matter,事情
258,Anzahl::N,count,数目
259,Art::N,sort,种类
260,Stück::N,piece,块
261,Teil::N,part,部分
262,Hälfte::N,half,一半
263,Kreis::N,circle,圆
264,Kreuz::N,cross,十字架
265,Linie::N,line,线条
266,Strich::N,stroke,划
267,Abstand::N,gap,距离
268,Entfernung::N,distance,距离
269,Gegend::N,area,地区
270,Platz::N,space,场所
271,Ort::N,place,地点
272,Seite::N,side,面
273,Mitte::N,middle,中间
274,Gegenstand::N,item,物品
275,Sache::N,thing,物
276,Rand::N,fringe,边
277,Kante::N,edge,棱
278,Ecke::N,corner,角
279,Spitze::N,tip,尖
280,Ende::N,end,结尾
281,Loch::N,hole,洞
282,Winkel::N,angle,角度
283,Muster::N,pattern,模型
284,Größe::N,size,大小
285,Länge::N,length,长度
286,Höhe::N,height,高度
287,Gewicht::N,weight,重量
288,Menge::N,amount,数量
289,Haufen::N,heap,堆
290,Reihe::N,row,行
291,Boot::N,boat,小船
292,Ruder::N,oar,奖
293,Schlitten::N,sleigh,雪橇
294,Ski::N,ski,雪板
295,Lagerfeuer::N,campfire,营火
296,Last::N,load,负担
297,Gang::N,walk,行走
298,Schritt::N,step,步伐
299,Norden::N,north,北
300,Süden::N,south,南
301,Westen::N,west,西
302,Osten::N,east,东
303,Holz::N,wood,木材
304,Brett::N,board,木板
305,Platte::N,slab,平板
306,Stütze::N,bracket,支架
307,Stange::N,pole,杆
308,Stock::N,stick,棒
309,Stab::N,staff,棍
310,Rohr::N,pipe,管子
311,Haus::N,house,房屋
312,Heim::N,home,家
313,Ofen::N,stove,炉子
314,Fußboden::N,floor,地板
315,Tisch::N,table,桌子
316,Stuhl::N,chair,椅子
317,Wiege::N,cradle,摇蓝
318,Bett::N,bed,床
319,Regal::N,shelf,架子
320,Kiste::N,box,箱子
321,Fenster::N,window,窗户
322,Tür::N,door,门
323,Tor::N,gate,大门
324,Zaun::N,fence,篱笆
325,Dach::N,roof,屋顶
326,Leiter::N,ladder,梯子
327,Besen::N,broom,扫帚
328,Spaten::N,spade,铁锹
329,Schaufel::N,shovel,铁锹
330,Gabel::N,fork,叉
331,Löffel::N,spoon,食匙
332,Messer::N,knife,刀
333,Nagel::N,nail,钉子
334,Netz::N,net,网
335,Haken::N,hook,钩子
336,Griff::N,handle,把柄
337,Schloss::N,lock,锁
338,Bild::N,picture,图画
339,Figur::N,figure,人像
340,Puppe::N,doll,娃娃
341,Beutel::N,pouch,袋子
342,Bündel::N,bundle,捆
343,Tasche::N,bag,手提包
344,Eimer::N,bucket,桶
345,Deckel::N,cover,盖子
346,Geschirr::N,dishes,餐具
347,Sack::N,sack,袋子
348,Tasse::N,cup,杯子
349,Topf::N,pot,锅
350,Kessel::N,kettle,水壶
351,Essen::N,meal,进餐
352,Nahrung::N,food,食物
353,Speise::N,dish,菜肴
354,Fleisch::N,meat,肉
355,Getreide::N,corn,谷物
356,Brei::N,mush,粥
357,Brot::N,bread,面包
358,Scheibe::N,slice,片
359,Fett::N,fat,脂肪
360,Butter::N,butter,黄油
361,Öl::N,oil,油
362,Salz::N,salt,盐
363,Suppe::N,soup,汤
364,Honig::N,honey,蜂蜜
365,Milch::N,milk,奶
366,Tee::N,tea,茶
367,Leder::N,leather,皮革
368,Wolle::N,wool,毛线
369,Stoff::N,cloth,织物
370,Nadel::N,needle,针
371,Faden::N,thread,线
372,Knopf::N,button,纽扣
373,Knoten::N,knot,结
374,Farbe::N,paint,颜色
375,Kleidung::N,clothes,衣服
376,Hemd::N,shirt,衬衫
377,Kragen::N,collar,领子
378,Ärmel::N,sleeve,袖子
379,Hose::N,trousers,裤子
380,Gürtel::N,belt,腰带
381,Mütze::N,cap,帽子
382,Schuh::N,shoe,鞋
383,Stiefel::N,boot,靴子
384,Ring::N,ring,戒指
385,Band::N,ribbon,带子
386,Kamm::N,comb,梳子
387,Spiegel::N,mirror,镜子
388,Riemen::N,strap,皮带
389,Schnur::N,string,绳子
390,Leine::N,leash,皮带
391,Decke::N,blanket,被子
392,Kissen::N,pillow,软垫
393,Tuch::N,scarf,巾
394,Handtuch::N,towel,手巾
395,Kraft::N,force,力
396,Stärke::N,strength,力量
397,Gesundheit::N,health,健康
398,Krankheit::N,illness,病
399,Schmerz::N,pain,痛
400,Wunde::N,wound,伤口
401,Fieber::N,fever,发烧
402,Arznei::N,medicine,药
403,Brücke::N,bridge,桥
404,Brunnen::N,well,井
405,Weide::N,pasture,牧场
406,Pfad::N,path,小路
407,Weg::N,way,路
408,Straße::N,road,街
409,Dorf::N,village,村庄
410,Stadt::N,town,城市
411,Brief::N,letter,信
412,Buch::N,book,书
413,Buchstabe::N,character,字母
414,Zeitung::N,newspaper,报纸
415,Leben::N,life,生命
416,Tod::N,death,死亡
417,Grab::N,grave,坟墓
418,Kirche::N,church,教堂
419,Sünde::N,sin,罪
420,Gott::N,god,上帝
421,Arbeiter::N,worker,工人
422,Chef::N,boss,上司
423,Meister::N,master,师傅
424,Arzt::N,doctor,医生
425,Lehrer::N,teacher,教师
426,Geld::N,money,钱
427,Geschäft::N,business,交易
428,Laden::N,shop,商店
429,Preis::N,price,价格
430,Ware::N,ware,商品
431,Nutzen::N,profit,好处
432,Reichtum::N,wealth,财富
433,Welt::N,world,世界
434,Land::N,country,国家
435,Staat::N,state,国家
436,König::N,king,国王
437,Macht::N,power,权力
438,Grenze::N,border,边界
439,Krieg::N,war,战争
440,Feind::N,enemy,敌人
441,Gewalt::N,violence,暴力
442,Kampf::N,fight,战斗
443,Bogen[Waffe]::N,bow,弓
444,Pfeil::N,arrow,箭
445,Gewehr::N,gun,枪
446,Fehler::N,mistake,错误
447,Lüge::N,lie,谎话
448,Schaden::N,damage,损失
449,Unglück::N,misfortune,不幸
450,Schuld::N,fault,过错
451,Alter::N,age,年龄
452,Schluss::N,conclusion,结束
453,Zeit::N,time,时间
454,Tag::N,day,天
455,Morgen::N,morning,早晨
456,Mittag::N,noon,中午
457,Abend::N,evening,晚上
458,Nacht::N,night,夜
459,Woche::N,week,星期
460,Monat::N,month,月
461,Jahr::N,year,年
462,Frühling::N,spring,春天
463,Sommer::N,summer,夏天
464,Herbst::N,autumn,秋天
465,Winter::N,winter,冬天
466,Januar::N,January,一月
467,Februar::N,February,二月
468,März::N,March,三月
469,April::N,April,四月
470,Mai::N,May,五月
471,Juni::N,June,六月
472,Juli::N,July,七月
473,August::N,August,八月
474,September::N,September,九月
475,Oktober::N,October,十月
476,November::N,November,十一月
477,Dezember::N,December,十二月
478,Montag::N,Monday,星期一
479,Dienstag::N,Tuesday,星期二
480,Mittwoch::N,Wednesday,星期三
481,Donnerstag::N,Thursday,星期四
482,Freitag::N,Friday,星期五
483,Samstag::N,Saturday,星期六
484,Sonntag::N,Sunday,星期日
485,groß::A,big,大
486,klein::A,little,小
487,lang::A,long,长
488,kurz::A,short,短
489,breit::A,wide,宽
490,schmal::A,narrow,细长的
491,dicht::A,dense,密
492,dick[Gegenstand]::A,thick,厚
493,dünn::A,thin,薄
494,fein::A,delicate,细小
495,fest::A,firm,固体
496,flach::A,flat,平坦
497,glatt::A,smooth,光滑
498,hart::A,hard,硬
499,weich::A,soft,软
500,rund::A,round,圆
501,spitz::A,pointed,尖
502,scharf::A,sharp,锋利
503,stumpf::A,blunt,钝
504,schwer::A,heavy,重
505,schön::A,beautiful,美丽
506,heiß::A,hot,烫
507,warm::A,warm,暖和
508,kalt::A,cold,冷
509,kühl::A,cool,凉
510,frisch::A,fresh,新鲜
511,feucht::A,damp,潮湿
512,nass::A,wet,湿
513,trocken::A,dry,干
514,voll::A,full,满
515,leer::A,empty,空
516,offen::A,open,敞开
517,geschlossen::A,closed,关闭
518,sauber::A,clean,干净
519,schmutzig::A,dirty,肮脏
520,roh::A,raw,生
521,reif::A,ripe,成熟
522,lecker::A,delicious,好吃
523,süß::A,sweet,甜
524,bitter::A,bitter,苦
525,sauer::A,sour,酸
526,hell::A,bright,亮
527,dunkel::A,dark,阴暗
528,schwarz::A,black,黑
529,weiß::A,white,白
530,rot::A,red,红
531,gelb::A,yellow,黄
532,blau::A,blue,蓝
533,grün::A,green,绿
534,grau::A,grey,灰色
535,bunt::A,colourful,五彩
536,bunt::A,colorful,五彩
537,billig::A,cheap,便宜
538,teuer::A,dear,贵
539,wertvoll::A,precious,贵重
540,blind::A,blind,瞎
541,taub::A,deaf,聋
542,kräftig::A,powerful,强壮
543,stark::A,strong,强壮
544,schwach::A,weak,弱
545,fett::A,fat,胖
546,schlank::A,slim,苗条
547,hübsch::A,pretty,漂亮
548,böse::A,evil,邪恶
549,dumm::A,stupid,笨
550,faul::A,lazy,懒惰
551,fleißig::A,diligent,勤奋
552,geizig::A,stingy,吝啬
553,klug::A,clever,聪明
554,geschickt::A,skilful,灵巧
555,geschickt::A,skillful,灵巧
556,lieb::A,dear,可爱
557,lustig::A,merry,快乐
558,sanft::A,gentle,柔和
559,hungrig::A,hungry,饥饿
560,krank::A,sick,患病
561,nackt::A,naked,裸体
562,traurig::A,sad,悲哀
563,lebendig::A,living,活
564,gut::A,good,好
565,schlecht::A,bad,坏
566,richtig::A,correct,正确
567,schlimm::A,nasty,糟糕
568,wahr::A,true,真
569,alt::A,old,旧
570,neu::A,new,新
571,ehemalig::A,former,以前
572,alt[Lebewesen]::A,aged,老
573,jung::A,young,年轻
574,arm::A,poor,贫穷
575,reich::A,rich,富裕
576,bekannt::A,familiar,出名
577,berühmt::A,famous,著名
578,fremd::A,foreign,陌生
579,verschieden::A,different,不同
580,nah::A,near,近
581,fern::A,far,遥远
582,linker::A,left,左
583,rechter::A,right,右
584,anderer::A,other,别的
585,erster::A,first,第一
586,zweiter::A,second,第二
587,dritter::A,third,第三
588,letzter::A,last,最后
589,allein::ADV,alone,单独
590,auf einmal::ADV,at once,同时
591,zusammen::ADV,together,一起
592,lange::ADV,long,许久
593,plötzlich::ADV,suddenly,忽然
594,sofort::ADV,instantly,立刻
595,später::ADV,later,以后
596,jetzt::ADV,now,现在
597,heute::ADV,today,今天
598,morgen::ADV,tomorrow,明天
599,bald::ADV,soon,即将
600,dann::ADV,then,然后
601,gestern::ADV,yesterday,昨天
602,einst::ADV,once,曾经
603,damals::ADV,at that time,当时
604,danach::ADV,afterwards,随后
605,vorher::ADV,before,事先
606,zuerst::ADV,at first,首先
607,einmal::ADV,once,一次
